variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
add_assigned_lab,4,1,2,0.9174414741846363,0.915262813889278,0.915262813889278,0.9196307793238422,0.9174308293407889,0.915262813889278
add_assigned_lab,4,1,3,0.9175866275048933,0.9152185290452841,0.9152185290452841,0.9201019891526664,0.9174393643167293,0.9152185290452841
add_assigned_lab,4,1,4,0.9175818626004165,0.9151037579961102,0.9151037579961102,0.9203277102880252,0.9173141195171141,0.9151037579961102
add_assigned_lab,4,2,0,0.9164942396029864,0.9148487566560546,0.9148487566560546,0.9178337546031382,0.9168002075497661,0.9148487566560546
add_assigned_lab,4,2,1,0.9173223505274909,0.9152861376443225,0.9152861376443225,0.9191770052232142,0.9175039087149358,0.9152861376443225
add_assigned_lab,4,2,2,0.9177008082919881,0.915420249235829,0.915420249235829,0.9199203608010742,0.917761814839061,0.915420249235829
add_assigned_lab,4,2,3,0.9178212579154782,0.9153844306120106,0.9153844306120106,0.920320471016075,0.9177588721183488,0.9153844306120106
add_assigned_lab,4,2,4,0.9178319936004801,0.9152802158337886,0.9152802158337886,0.9205580420870708,0.9176577228805809,0.9152802158337886
add_assigned_lab,4,3,0,0.9167780507520956,0.915026910766827,0.915026910766827,0.9182451317962985,0.9170621096931613,0.915026910766827
add_assigned_lab,4,3,1,0.9174658367222644,0.9153660139327026,0.9153660139327026,0.9193771504241428,0.917654345809948,0.9153660139327026
add_assigned_lab,4,3,2,0.9178198045391293,0.9154994591312078,0.9154994591312078,0.9200387223674975,0.9179212321186825,0.9154994591312078
add_assigned_lab,4,3,3,0.9179521352263998,0.91547259137702,0.91547259137702,0.9204307877693063,0.9179530265328729,0.91547259137702
add_assigned_lab,4,3,4,0.9179759930693523,0.9153965165578063,0.9153965165578063,0.9206586605477188,0.9178728021025316,0.9153965165578063
add_assigned_lab,4,4,0,0.9169027129554074,0.9151003957405128,0.9151003957405128,0.9184576992911152,0.9171500438345939,0.9151003957405128
add_assigned_lab,4,4,1,0.9175129674593313,0.9153878837393807,0.9153878837393807,0.9194481016487902,0.917702916989823,0.9153878837393807
add_assigned_lab,4,4,2,0.9178424761455451,0.9155086371802708,0.9155086371802708,0.9200673826769459,0.9179514085794187,0.9155086371802708
add_assigned_lab,4,4,3,0.9180029357623033,0.9155248880823246,0.9155248880823246,0.9204596918609724,0.9180242273436131,0.9155248880823246
add_assigned_lab,4,4,4,0.9180491374089664,0.9154664423870537,0.9154664423870537,0.9206970827451115,0.9179838870947343,0.9154664423870537
drop_start_week,0,1,1,0.9185470394713163,0.9155241913987323,0.9155241913987323,0.9218893261800142,0.9182276008352027,0.9155241913987323
drop_start_week,0,1,2,0.9180030961922694,0.91471517514989,0.91471517514989,0.9219701558841016,0.9173239575428165,0.91471517514989
drop_start_week,0,1,3,0.9174920530340757,0.9141450305014135,0.9141450305014135,0.9217997945106688,0.9165313340901446,0.9141450305014135
